Identifier,Station Number,Lat,Lon,Name,Start,End
AEM00041217,41217,24.4333,54.65,ABU DHABI INTERNATIONAL AIRPOR,1983,2020
AFM00040948,40948,34.55,69.2167,KABUL AIRPORT,1961,2020
AGM00060390,60390,36.6833,3.2167,DAR-EL-BEIDA,1948,2020
AGM00060571,60571,31.5,-2.25,BECHAR,1948,2020
AGM00060630,60630,27.2333,2.5,IN-SALAH,1964,2020
AGM00060656,60656,27.7,-8.1667,TINDOUF,1973,2020
AGM00060680,60680,22.8,5.4333,TAMANRASSET,1934,2020
AMM00037789,37789,40.2169,44.5017,YEREVAN AERO,1949,2020
AQM00091765,91765,-14.3383,-170.7192,PAGO PAGO/INT.AIRP. AMERICAN S,1966,2020
ARM00087155,87155,-27.45,-59.05,RESISTENCIA AERO,1961,2020
ARM00087344,87344,-31.3167,-64.2167,CORDOBA AERO,1959,2020
ARM00087418,87418,-32.8333,-68.7833,MENDOZA AERO,1974,2020
ARM00087576,87576,-34.8167,-58.5333,EZEIZA AERO,1957,2020
ARM00087623,87623,-36.5667,-64.2667,SANTA ROSA AERO,1965,2020
ARM00087715,87715,-38.95,-68.1333,NEUQUEN AERO,1957,2020
ARM00087860,87860,-45.7833,-67.5,COMODORO RIVADAVIA AERO,1958,2020
ASM00094120,94120,-12.4239,130.8925,DARWIN AIRPORT,1943,2020
ASM00094150,94150,-12.2742,136.8203,GOVE AIRPORT,1985,2020
ASM00094170,94170,-12.6778,141.9208,WEIPA AERO,1993,2020
ASM00094203,94203,-17.9475,122.2353,BROOME AIRPORT,1950,2020
ASM00094294,94294,-19.2483,146.7661,TOWNSVILLE AERO,1943,2020
ASM00094299,94299,-16.2833,149.965,WILLIS ISLAND,1947,2020
ASM00094302,94302,-22.2406,114.0967,LEARMONTH AIRPORT,1975,2020
ASM00094312,94312,-20.3725,118.6317,PORT HEDLAND AIRPORT,1950,2020
ASM00094326,94326,-23.795,133.8889,ALICE SPRINGS AIRPORT,1946,2020
ASM00094332,94332,-20.6778,139.4875,MOUNT ISA AERO,1975,2020
ASM00094374,94374,-23.3753,150.4775,ROCKHAMPTON AERO,1943,2020
ASM00094403,94403,-28.8044,114.6989,GERALDTON AIRPORT,1950,2020
ASM00094430,94430,-26.6136,118.5372,MEEKATHARRA AIRPORT,1951,2020
